AÑO;PERIODO;FECHA DE REPORTE DE LA INFORMACIÓN;CODIGO ENTIDAD;ENTIDAD;CODIGO LINEA;LINEA INTERVENCION;CODIGO SERVICIO;NOMBRE SERVICIO;UBIGEO;DEPARTAMENTO;PROVINCIA;DICTRITO;COD_CENTRO;NOMBRE DE CENTRO DE ATENCIÓN;N° DE CASOS - MUJERES;N° CASOS - VINCULO RELACIONAL - PAREJA;N° CASO - VINCULO RELACIONAL - EX PAREJA;N° CASOS - VINCULO RELACIONAL - FAMILIAR;N° CASOS - VINCULO RELACIONAL - CONOCIDO;N° CASOS  - VINCULO RELACIONAL - DESCONOCIDO;N° CASOS - VINCULO RELACIONAL - OTROS;N° CASOS DE TENTATIVA FEMINICIDIO - 0_5 - MUJERES;N° CASOS DE TENTATIVA FEMINICIDIO - 6_11 - MUJERES;N° CASOS DE TENTATIVA FEMINICIDIO - 12_17 - MUJERES;N° CASOS DE TENTATIVA FEMINICIDIO - 18_29 - MUJERES;N° CASOS DE TENTATIVA FEMINICIDIO - 30_59 - MUJERES;N° CASOS DE TENTATIVA FEMINICIDIO - 60_MÁS - MUJERES
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;01;AMAZONAS;;;  ;;1;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;02;ÁNCASH;;;  ;;7;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;03;APURÍMAC;;;  ;;0;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;04;AREQUIPA;;;  ;;4;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;05;AYACUCHO;;;  ;;9;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;06;CAJAMARCA;;;  ;;6;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;07;CALLAO;;;  ;;1;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;08;CUSCO;;;  ;;1;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;09;HUANCAVELICA;;;  ;;3;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;10;HUÁNUCO;;;  ;;5;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;11;ICA;;;  ;;8;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;12;JUNÍN;;;  ;;11;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER006;REGISTRO DE TENTATIVA DE FEMINICIDIO;13;LA LIBERTAD;;;  ;;0;;;;;;;;;;;;
